"","Value","Std..Error","t.value","p.value"
"monitoring1",0.58334048825258,0.178156352821139,3.27431763737457,0.00105917479411235
"trad.pko1",-0.309996892917095,0.162221375497382,-1.91094972513099,0.0560110420078945
"sanctions1",-0.553560926962591,0.16920930824316,-3.27145671068581,0.00106994967520939
"threat1",-0.363005359010833,0.146909475474603,-2.47094585177788,0.0134756221397863
"pos.inc1",-0.299188204893477,0.218291149952002,-1.37059246313587,0.170502033759418
"sc.mission.prior1",-0.423635785593104,0.178938140750994,-2.36749853225883,0.0179087910681237
"p5.vetoes.4yr1",0.358726484297534,0.299145108712474,1.19917215374672,0.230461012553374
"p5.abstentions.past.4yr1",0.396934859671652,0.255099135721329,1.5560023696249,0.119707528890997
"p5.abstentions.change",-0.0752642765870675,0.225184873416883,-0.334233269957398,0.738203540348309
"prior.consent1",-0.0318915195646811,0.104721615611246,-0.304536168378748,0.760719442036466
"intensity.med1",-0.552498867634544,0.195707631489974,-2.82308289885389,0.00475642711894616
"intensity.high1",-0.714870597575882,0.195150127022547,-3.66318284534494,0.000249100591851115
"prox.war1",-0.520482987107079,0.135332920653651,-3.84594512992975,0.000120088636757891
"shock",-0.788278167678922,0.223530658646193,-3.52648792095503,0.0004211103737587
"lootable1",-0.43371141465091,0.416628709863746,-1.04100222664144,0.297874514827748
"dod.med1",-0.935187563619992,0.130363089162946,-7.17371435139177,7.29898251393849e-13
"dod.high1",-1.49318111050059,0.148049800191634,-10.0856678534374,6.39289536051873e-24
"1|2",-1.71528127770861,1.35745784070133,-1.2635981953019,0.206374281684674
"2|3",-0.0235978274084503,1.35703886206631,-0.0173892053264552,0.986126120756499
"3|4",1.45301221880239,1.35737391743389,1.07045833144437,0.284413055207685
