"","Value","Std..Error","t.value","p.value"
"monitoring1",0.475567143315501,0.186349146439255,2.55202211763563,0.0107099719674126
"trad.pko1",-0.480067445233065,0.158743952785818,-3.02416209756844,0.00249322812675807
"multi.pko1",0.667043718488392,0.180593508407981,3.69361957895777,0.000221084472972942
"sanctions1",-0.674167593387966,0.1360490017158,-4.95532921877862,7.22079217491553e-07
"threat1",-0.128417344585561,0.144852390773283,-0.886539351542733,0.375326958734552
"pos.inc1",-0.246340182192912,0.218247067693527,-1.12872161260299,0.259015289108044
"sc.mission.prior1",-0.299681385785366,0.173772921393946,-1.72455744762432,0.0846072576071882
"p5.vetoes.2yr1",0.646081956623008,0.316682473257841,2.04015697482877,0.0413346935147901
"p5.abstentions.past.2yr1",0.166321885133524,0.255004256735348,0.652231799040668,0.514251649152931
"p5.abstentions.change",-0.41034147429884,0.244406036492657,-1.67893346738663,0.0931650111300986
"prior.consent1",-0.0355366634439549,0.103691323678046,-0.342715881941037,0.731812213490861
"intensity.med1",-0.0342492866326057,0.162015415534301,-0.211395233716848,0.832578875653879
"intensity.high1",-0.129328403987733,0.1849776647321,-0.699156864019432,0.484454004849075
"prox.war1",-0.410059844364805,0.130921777373185,-3.13209805574173,0.00173561898107534
"shock",-0.654538644897157,0.215356608890246,-3.03932462658128,0.0023710920662523
"factions",-0.0312271349726711,0.00741991199711984,-4.20855867088348,2.57004800850684e-05
"lootable1",0.176984955919834,0.144670189475063,1.22336852230598,0.221190536897607
"dod.med1",-0.84134416818524,0.130865082035204,-6.42909594446982,1.28365089723219e-10
"dod.high1",-1.52967260066458,0.157151814292485,-9.73372536328228,2.1651500551611e-22
"mil1",-0.463096496856715,0.117256955057865,-3.94941602080817,7.83420899638782e-05
"hum1",-0.829002907917986,0.137467097636062,-6.03055510863214,1.63397438466987e-09
"gov1",0.22016961388189,0.125272810923934,1.75752114331957,0.0788290212101158
"ext1",-0.444083275129599,0.18008806264612,-2.46592288575085,0.0136660752008085
"coop1",0.085210419927021,0.119937108450342,0.710459181716063,0.477419434574224
"1|2",-1.20902227137859,1.30999681503015,-0.922920008283201,0.356048892847435
"2|3",0.500693352286919,1.30982523754772,0.382259661773142,0.702268772058356
"3|4",1.97644680279296,1.31053036485332,1.50812743893513,0.131521913791932
