"","OR","2.5 %","97.5 %"
"monitoring1",1.80235526681163,1.25607558254439,2.58621738448514
"trad.pko1",0.690068868966463,0.489804840028342,0.972213839065165
"sanctions.general1",1.13044200776735,0.540702310198838,2.36340609022945
"sanctions.arms1",0.579097585783268,0.4044385646431,0.829184066944617
"sanctions.financial1",4.46228004511023,1.12253963724607,17.7382985333498
"sanctions.travel1",0.569795695167059,0.168492461980996,1.92689411985405
"sanctions.targeted1",0.549170576310879,0.277230995035242,1.0878593205182
"sanctions.diplo1",0.43890347279762,0.134750479975627,1.42957753077134
"threat.benefits1",0.311498690401853,0.076306624299208,1.27159909133965
"threat.fin.benefits1",0.771653739173849,0.273670443803101,2.17579028595939
"threat.pko1",1.93155244223972,0.462149988124831,8.07290908360791
"threat.other1",2.86492858870078,0.811761391085693,10.1111187455928
"threat.force1",0.900073421400042,0.574527414483209,1.41008443372454
"threat.sanctions1",0.673835162986632,0.353224201059738,1.28545503256848
"pos.inc1",0.673937063242933,0.403312644924955,1.1261515623866
"sc.mission.prior1",0.600428493281404,0.415154805229331,0.868385409498102
"p5.vetoes.2yr1",1.78284123765357,0.914552125028091,3.47549668487236
"p5.abstentions.past.2yr1",1.30022091140393,0.753678333857382,2.2430980731522
"p5.abstentions.change",0.842032070745761,0.512871573218192,1.3824474687014
"prior.consent1",0.968271384519801,0.783925713340191,1.195967242974
"intensity.med1",0.64802111597067,0.436961833251683,0.961025276782006
"intensity.high1",0.50979059062869,0.341343241573242,0.761363972216759
"prox.war1",0.686966884259952,0.505127244239604,0.934266574316811
"shock",0.477214062371996,0.301286604491318,0.755869188774857
"lootable1",1.06486702156033,0.450199273736311,2.51875522631547
"dod.med1",0.391375544453982,0.301242156103116,0.508477361794669
"dod.high1",0.206062354281511,0.150651121939929,0.281854481435394
"mil1",0.634848459752256,0.502571002708623,0.801941545926157
"hum1",0.426438629379475,0.324316693899456,0.560717064670812
"gov1",1.20754087729939,0.937494301848874,1.55537475531668
"ext1",0.632025208153434,0.440866586592923,0.906069717890033
"coop1",1.10196532181089,0.866163665997488,1.40196087430583
