"","Value","Std..Error","t.value","p.value"
"trad.pko1",-0.0311412414348442,0.168454025526797,-0.184864928798572,0.853334979577827
"multi.pko1",0.536581833528518,0.171031416414421,3.13732906373378,0.00170494657482795
"sanctions1",-0.391639506214564,0.167486487224654,-2.3383349469217,0.0193698794884957
"threat1",-0.0771985347860795,0.144987581535005,-0.532449289578922,0.594414854957974
"pos.inc1",-0.222497522717546,0.226062894775337,-0.984228406606341,0.32500322168263
"sc.mission.prior1",-0.452197254317288,0.177514503733719,-2.54738201558791,0.0108534547299205
"p5.vetoes.2yr1",0.742794330495761,0.324702213467171,2.28761708324745,0.0221598301666766
"p5.abstentions.past.2yr1",-0.0893360459718618,0.265628766484079,-0.336319168869898,0.736630196317382
"p5.abstentions.change",-0.0641576317987081,0.237257887501821,-0.270413061813238,0.786842492419991
"prior.consent1",-0.00213197800851161,0.104119310876176,-0.0204762977258567,0.983663419786985
"intensity.med1",-0.656414719654805,0.191950932765199,-3.41970059847406,0.000626900922532221
"intensity.high1",-0.483419331221855,0.193737661137436,-2.495226423111,0.012587677919689
"prox.war1",-0.37782647644733,0.13637592457412,-2.77047783637193,0.00559741095024676
"shock",-0.549359467110803,0.214183897284038,-2.56489621338001,0.0103206670897465
"lootable1",-1.32190973475909,0.410939916313971,-3.21679564890237,0.00129630894914041
"dod.med1",-0.912987148046302,0.131297920696533,-6.95355374405718,3.56197161899945e-12
"dod.high1",-1.24886459445807,0.146211995123077,-8.54146469588084,1.32531090185486e-17
"1|2",-3.018578797099,1.17745622400533,-2.56364418103865,0.0103579670243153
"2|3",-1.04041648483591,1.17569551985625,-0.884937015804158,0.376190602382834
"3|4",0.722434099411245,1.17682233973076,0.613885439646333,0.539291032462311
