"","Value","Std..Error","t.value","p.value"
"monitoring1",0.64798866915495,0.184335260417481,3.5152724860528,0.000439302991585138
"trad.pko1",-0.511043172080975,0.174091391453871,-2.93548789410639,0.00333023605636752
"sanctions.general1",-0.345372998837671,0.380603968676409,-0.907434044996279,0.364177312729709
"sanctions.arms1",-0.414797776039294,0.183143825768996,-2.26487447391477,0.0235203836098382
"sanctions.financial1",2.00007183042762,0.717907865168393,2.78597286290836,0.00533673392395722
"sanctions.travel1",0.0290868997527072,0.626892644429871,0.0463985341208786,0.962992604858444
"sanctions.targeted1",-0.361781793018,0.364900024315224,-0.991454559908358,0.321463670110503
"sanctions.diplo1",-1.72649172588041,0.618690713201664,-2.79055704092597,0.00526174278567954
"threat.benefits1",-1.53504581062578,0.759711200105863,-2.02056493363778,0.0433248220031736
"threat.fin.benefits1",0.705022967178456,0.535364755783019,1.3169020925692,0.187871444989036
"threat.pko1",1.44736693113801,0.778973284843343,1.85804437623183,0.0631627127970303
"threat.other1",1.57806013646525,0.692532880828008,2.27867900593901,0.0226861536191804
"threat.force1",-0.0785809976705905,0.233466558803219,-0.336583526451957,0.736430876321198
"threat.sanctions1",0.0337107158950106,0.322369130209629,0.104571786613344,0.91671560295326
"pos.inc1",-0.777342989596432,0.268000786072448,-2.90052503572245,0.00372538077290291
"sc.mission.prior1",-0.546479961226445,0.184786375388531,-2.95736068244977,0.0031028493047035
"p5.vetoes.2yr1",0.841277582075544,0.351276173990723,2.39491785770179,0.0166240890842469
"p5.abstentions.past.2yr1",-0.282045137209165,0.275648825283583,-1.02320456805503,0.306211133551879
"p5.abstentions.change",-0.120978023004397,0.247246094318565,-0.48930205889733,0.624627863647668
"prior.consent1",0.00581526666463928,0.107050421324386,0.0543226882500329,0.956678073629737
"intensity.med1",-0.372897154943983,0.199919977805463,-1.86523207453954,0.0621488815073635
"intensity.high1",-0.396122315555462,0.202543699906781,-1.95573753090209,0.0504960811381074
"prox.war1",-0.191141288116428,0.159519470166482,-1.19823171376475,0.230826822282389
"shock",-0.366445042943073,0.22380039735744,-1.63737440715001,0.101552262380998
"lootable1",-0.69819814107945,0.439538393764484,-1.58848043989887,0.112177740654768
"dod.med1",-0.932137597917972,0.133773604823867,-6.96802331928836,3.21424959462497e-12
"dod.high1",-1.41423514413943,0.158299025603005,-8.93394724795188,4.11073401080322e-19
"mil1",-0.44463425961558,0.118616064825436,-3.74851636049412,0.000177883735672039
"hum1",-0.903208060753353,0.140150055933788,-6.44457866773924,1.159219951438e-10
"gov1",0.164770660647564,0.126737865731623,1.30009022715025,0.193570046785416
"ext1",-0.127880704662186,0.175577325013533,-0.72834407661883,0.466402987314278
"coop1",-0.0659288828066187,0.12148984618906,-0.542669901022195,0.587357101424912
"1|2",-2.93881593230899,1.23339498376019,-2.38270462504199,0.0171859776853958
"2|3",-0.839338130831083,1.23178203882486,-0.681401501544727,0.495617473025364
"3|4",1.0380150544572,1.23320573538863,0.841720910526001,0.399944190838634
