"","Value","Std..Error","t.value","p.value"
"monitoring1",0.589094291148164,0.184239124073723,3.19744405055051,0.00138651305635202
"trad.pko1",-0.370963876275205,0.174893201762554,-2.12108802707408,0.0339143953227384
"sanctions.general1",0.122608713558406,0.376279936453704,0.325844409122491,0.744542077137537
"sanctions.arms1",-0.546284273670726,0.183151916527241,-2.9826839054096,0.00285732927069544
"sanctions.financial1",1.49565985627983,0.70412834908039,2.12412958267225,0.0336593094350894
"sanctions.travel1",-0.562477411936235,0.621637368789673,-0.904832045459843,0.365554371985003
"sanctions.targeted1",-0.59934618206819,0.348760500978266,-1.71850361605468,0.0857047954527374
"sanctions.diplo1",-0.823475769816132,0.602487977700822,-1.36679203618075,0.171690499703433
"threat.benefits1",-1.16636014493087,0.717684300068859,-1.62517160375247,0.104125999195109
"threat.fin.benefits1",-0.259219353960717,0.528893036070475,-0.490116784079145,0.624051261895651
"threat.pko1",0.658324053798703,0.72970210475636,0.902181930828485,0.36696023175416
"threat.other1",1.05254342444621,0.64342624136979,1.63584161908823,0.101872739068575
"threat.force1",-0.105278939651859,0.229049374307031,-0.459634259951031,0.645778763684646
"threat.sanctions1",-0.394769763282532,0.329537958345207,-1.19794929016642,0.230936759152059
"pos.inc1",-0.394618550407669,0.261956177558196,-1.50642964058368,0.131956916434185
"sc.mission.prior1",-0.510111723184655,0.188264724956557,-2.70954488846684,0.00673755874365695
"p5.vetoes.2yr1",0.578208292658272,0.340582333302419,1.69770488989179,0.0895634744005112
"p5.abstentions.past.2yr1",0.262534181879884,0.278231539508856,0.943581674253461,0.345383460570559
"p5.abstentions.change",-0.171937176693481,0.252960073232973,-0.679700849608504,0.496693897956093
"prior.consent1",-0.0322428750890492,0.107756133832348,-0.299220786254398,0.764771590294411
"intensity.med1",-0.433831996786297,0.201063607351824,-2.1576853340106,0.0309523049800744
"intensity.high1",-0.673755244196155,0.20465248004211,-3.29219193462753,0.000994097422900087
"prox.war1",-0.375469191327792,0.156878250698392,-2.39337951345247,0.0166939633276704
"shock",-0.739790120684609,0.234648787333355,-3.15275492829896,0.00161737529229062
"lootable1",0.0628499289807617,0.439250363519272,0.143084523544177,0.886223427593088
"dod.med1",-0.938087708205314,0.133549966329791,-7.02424518691965,2.15226572303273e-12
"dod.high1",-1.57957646530719,0.159805028699082,-9.88439774496447,4.86498267649792e-23
"mil1",-0.454368954629387,0.119211065775512,-3.81146625670653,0.000138144915684419
"hum1",-0.852286816004373,0.139669900279419,-6.10215095950752,1.04650462470529e-09
"gov1",0.188585958807527,0.129150617046078,1.46020176380763,0.144234630730265
"ext1",-0.458825999311993,0.183772241514052,-2.49671003374528,0.0125351410899853
"coop1",0.0970952418244126,0.122847481505074,0.790372261888027,0.429310396540401
"1|2",-1.75093017317456,1.39103680857354,-1.25872310666608,0.208130362338056
"2|3",0.0298506974262367,1.39084085542793,0.0214623386347479,0.982876845953427
"3|4",1.5655169065554,1.39105511007438,1.12541688335532,0.260412420003457
