"","OR","2.5 %","97.5 %"
"monit.un1",1.17705345201215,0.834560381697657,1.66010136507492
"monit.non.un1",1.41267670326915,0.982614327319255,2.03096516351832
"trad.pko1",0.859114478963055,0.584150614008691,1.2635057984429
"multi.pko1",1.6255075918542,1.10368486641226,2.39404834802608
"sanctions1",0.502121976197205,0.3586761873809,0.70293620778465
"threat1",0.783731493243226,0.585208941091489,1.04959957097653
"pos.inc1",0.82647963206755,0.533223498259119,1.28101740537056
"sc.mission.prior1",0.675435887501935,0.472685755892986,0.965152075005219
"p5.vetoes.2yr1",2.01964518131103,1.05632586039857,3.86146624949028
"p5.abstentions.past.2yr1",1.31986747965296,0.771926805119331,2.25675563057582
"p5.abstentions.change",0.751535813182016,0.464867907826302,1.21498186686226
"prior.consent1",0.965835794849196,0.785919106999851,1.18693994624075
"intensity.med1",0.513100832575779,0.347999918007018,0.756530248333701
"intensity.high1",0.467635299514188,0.313239360928186,0.698133123192842
"prox.war1",0.608429792184781,0.451961396674075,0.819067324648018
"shock",0.479007162989527,0.308259307256263,0.744333931836583
"factions",0.968623374895988,0.945971109009139,0.991818072940566
"lootable1",0.587327201102095,0.260564910115519,1.32386682842862
"dod.med1",0.406434465430767,0.314375818305456,0.525450639239341
"dod.high1",0.236497877543359,0.176758530629889,0.316427421540558
