"","OR","2.5 %","97.5 %"
"monitoring1",1.79201464732998,1.26384726415887,2.54090552499034
"trad.pko1",0.733449235108329,0.533687431100841,1.00798285500441
"sanctions1",0.574898987826375,0.41262954378577,0.800982021722093
"threat1",0.695582705853851,0.521553907431476,0.927680329471088
"pos.inc1",0.741419857457946,0.483341905467338,1.13729721924578
"sc.mission.prior1",0.654662275925499,0.461004213125855,0.92967197113869
"p5.vetoes.4yr1",1.43150520886794,0.796453003666514,2.57291661100203
"p5.abstentions.past.4yr1",1.48725904635321,0.902081634775161,2.45203913447452
"p5.abstentions.change",0.927498337841241,0.596534311128003,1.44208497424329
"prior.consent1",0.968611651793732,0.788879168830547,1.18929307435181
"intensity.med1",0.575509889008307,0.392162581342011,0.844577346499816
"intensity.high1",0.489255418537392,0.333751752575642,0.717212307413867
"prox.war1",0.594233471543318,0.455786565337888,0.774734153124171
"shock",0.454626913064235,0.293349599737191,0.704571031518307
"lootable1",0.648099260451928,0.28642210033196,1.46648129076466
"dod.med1",0.392512237610597,0.304010048668157,0.506778829676939
"dod.high1",0.224656859335388,0.168073585458598,0.300289330466346
