"","Value","Std..Error","t.value","p.value"
"monitoring1",0.482463444345537,0.188746456866411,2.55614570125155,0.0105838791696126
"trad.pko1",-0.234135753695981,0.187288532692904,-1.25013395283464,0.211250618704835
"multi.pko1",0.374775882838794,0.182530150556878,2.0532272706476,0.0400505407367381
"sanctions1",-0.397246650270294,0.167684858243357,-2.36900728206347,0.017835902281305
"threat1",-0.124000414554442,0.146118093988294,-0.848631481357653,0.396086383706051
"pos.inc1",-0.267072578876746,0.227261838057578,-1.17517565271597,0.23992444883195
"sc.mission.prior1",-0.479610082160696,0.177870368721608,-2.69640236093147,0.00700929432082224
"p5.vetoes.2yr1",0.692688842531627,0.325443006496795,2.12844900244753,0.033299873962935
"p5.abstentions.past.2yr1",-0.199954580910522,0.268930162865471,-0.743518610110486,0.45716775866156
"p5.abstentions.change",-0.11255217944927,0.237917267117719,-0.473072765221281,0.636161266396155
"prior.consent1",-0.0182121079324013,0.104289237638658,-0.174630751406035,0.861369783734663
"intensity.med1",-0.615485461200356,0.192609989093313,-3.19550125150661,0.00139588177569815
"intensity.high1",-0.396312213927767,0.196700089570816,-2.01480444056986,0.0439251435945782
"prox.war1",-0.30387318988551,0.139394316519796,-2.17995394268716,0.0292608757594802
"shock",-0.536703280677993,0.215097400075562,-2.49516396055672,0.0125898940805817
"lootable1",-1.26018389395756,0.411843301799637,-3.05986254590257,0.00221438595102097
"dod.med1",-0.944993939999619,0.131954283568647,-7.16152529832807,7.97842865229775e-13
"dod.high1",-1.30111246352806,0.147776038987462,-8.80462402729884,1.31291939545156e-18
"1|2",-3.04640482791477,1.18122388543219,-2.57902406604328,0.00990798837600362
"2|3",-1.06259235814504,1.17945195274131,-0.90092042806435,0.36763062892536
"3|4",0.706397568261145,1.18055129304355,0.598362453561844,0.549598112847542
