"","OR","2.5 %","97.5 %"
"monitoring1",1.62006041919068,1.11910268118326,2.34526804908841
"trad.pko1",0.791254392895917,0.548145491139548,1.14218492060477
"multi.pko1",1.45466536261107,1.01716908480054,2.08033388823976
"sanctions1",0.672168214713002,0.483887453604849,0.933709079465864
"threat1",0.883379474673789,0.663393721750127,1.17631396060885
"pos.inc1",0.765617501790509,0.490417800778975,1.19524649822432
"sc.mission.prior1",0.619024713534037,0.43682195227611,0.877226050497768
"p5.vetoes.2yr1",1.99908353398502,1.05636341680067,3.78310618513601
"p5.abstentions.past.2yr1",0.818767939927805,0.483333680247065,1.38699405162691
"p5.abstentions.change",0.89355072090755,0.56053619947504,1.42440914892234
"prior.consent1",0.981952730304482,0.800422746565248,1.20465237737197
"intensity.med1",0.540378498828127,0.370465816045992,0.788220962226344
"intensity.high1",0.672796606671538,0.457564552782306,0.98927084975504
"prox.war1",0.737954440604492,0.561535080746418,0.969800062507249
"shock",0.584672580038697,0.383549559141184,0.891259076439912
"lootable1",0.283601869034129,0.126516577400152,0.635727125823707
"dod.med1",0.388681926307238,0.300105984994752,0.503400956300644
"dod.high1",0.272228779930789,0.203773096196155,0.363681516382653
