"","OR","2.5 %","97.5 %"
"monitoring1",1.60892643064814,1.11664597566814,2.31823184397298
"trad.pko1",0.618741659223412,0.453300564621103,0.844563785572478
"multi.pko1",1.9484685761933,1.36764043695218,2.77597070826116
"sanctions1",0.509580422225015,0.390308144831039,0.665300507186276
"threat1",0.879486253715004,0.662110503290517,1.16822806258106
"pos.inc1",0.78165627414674,0.509616613292194,1.19891407575178
"sc.mission.prior1",0.741054293503368,0.52715004625919,1.04175551119987
"p5.vetoes.2yr1",1.90805034056699,1.02572093287495,3.54936317028607
"p5.abstentions.past.2yr1",1.18095317181993,0.716428180021721,1.94667160355038
"p5.abstentions.change",0.663423669320443,0.410915162351738,1.07109935417242
"prior.consent1",0.965087350155379,0.787597644177687,1.18257539279765
"intensity.med1",0.966330581312673,0.703425247534526,1.32749683872309
"intensity.high1",0.878685354383307,0.611476982991007,1.26266069448942
"prox.war1",0.663610535597005,0.513419611092661,0.857736894814221
"shock",0.519681765122996,0.340741946895116,0.792591400801274
"factions",0.969255396274103,0.955261747163241,0.983454038640498
"lootable1",1.19361313618036,0.898918050376299,1.58491902378188
"dod.med1",0.431130621708288,0.33359252500494,0.55718758378001
"dod.high1",0.216606572556111,0.159185594450987,0.294740283731843
"mil1",0.629331901027732,0.500115650799537,0.791934107676891
"hum1",0.436484284442846,0.333392945437833,0.571453395078239
"gov1",1.24628810042391,0.974958294499842,1.59312868870463
"ext1",0.641412004935406,0.450656715644509,0.912910749564394
"coop1",1.08894617856813,0.860826768308441,1.3775173164611
