"","Value","Std..Error","t.value","p.value"
"monitoring1",0.498628148507079,0.187689116235563,2.65667055452094,0.0078916521020082
"trad.pko1",-0.143520235868275,0.186753364022444,-0.768501475834336,0.442189314204933
"multi.pko1",0.307446549814907,0.17933694033927,1.71435148404605,0.0864641930595498
"sanctions1",-0.617084580314845,0.166674788756347,-3.70232705809472,0.00021363097861752
"threat1",-0.32639285839983,0.145744315040202,-2.23948946694626,0.0251240859064519
"pos.inc1",-0.217744600199147,0.223637853258289,-0.973648230953388,0.330231229889774
"sc.mission.prior1",-0.431713699896051,0.180252965374914,-2.39504353783093,0.0166183918410931
"p5.vetoes.2yr1",0.536151282054159,0.322404589378099,1.66297658196605,0.0963171232310046
"p5.abstentions.past.2yr1",0.163553713818293,0.271512203681597,0.602380709229899,0.54692074786801
"p5.abstentions.change",-0.285197445652976,0.243421342604928,-1.17162054321527,0.241349436503772
"prior.consent1",-0.0253312146180403,0.104772081342309,-0.241774471724759,0.808954920759213
"intensity.med1",-0.57131807732483,0.194459714683616,-2.9379765277058,0.00330362034593637
"intensity.high1",-0.680566436184257,0.20029701409583,-3.39778622889829,0.000679334812905017
"prox.war1",-0.607412398720273,0.138843670195343,-4.37479359243159,1.21547433228556e-05
"shock",-0.743548591093949,0.223986039633355,-3.31962024200736,0.000901399765946737
"lootable1",-0.368197160598835,0.411200786349851,-0.895419398068883,0.370562934953735
"dod.med1",-0.928654692231351,0.130738089978237,-7.10316857455956,1.21928528030249e-12
"1|2",-1.82786451140758,1.34948774995764,-1.35448766501582,0.175580846073173
"2|3",-0.13552314918533,1.34892680032533,-0.100467385741498,0.919973274209238
"3|4",1.33651902584048,1.34911907414107,0.990660536536698,0.321851367073436
