"","Value","Std..Error","t.value","p.value"
"monitoring1",0.589521795187549,0.17692192363615,3.33210143249367,0.000861928347471426
"trad.pko1",-0.428784999101871,0.161361966105808,-2.65728665465509,0.00787724313680613
"sanctions1",-0.350879824433512,0.170075639627526,-2.0630810220791,0.0391049309355661
"threat1",-0.159424492714456,0.147225930814336,-1.08285606912211,0.278872313832764
"pos.inc1",-0.373998778101009,0.220604291725319,-1.69533772519116,0.0900113721647319
"sc.mission.prior1",-0.46165750059424,0.17670819749472,-2.61254150706865,0.00898717785447366
"p5.vetoes.4yr1",0.582548415114961,0.303336737044823,1.92046773097873,0.0547988453697569
"p5.abstentions.past.4yr1",0.012052201176521,0.252590532719756,0.0477143820346293,0.961943871952286
"p5.abstentions.change",0.128665224937324,0.220966206466915,0.582284626208621,0.560374979163503
"prior.consent1",-0.0174749577940389,0.10420497078256,-0.167697929022053,0.866820925518678
"intensity.med1",-0.5932485001122,0.193829852519946,-3.06066631326127,0.00220845069861514
"intensity.high1",-0.46699304479728,0.191336350121814,-2.44069171644577,0.0146591627163927
"prox.war1",-0.222352118666018,0.135288583184946,-1.64353941353686,0.100271377617424
"shock",-0.588086537129894,0.214469040837526,-2.7420579438102,0.00610555700847205
"lootable1",-1.23644696642361,0.414819397154399,-2.98068743869128,0.00287602171680117
"dod.med1",-0.957861120660586,0.131581698886043,-7.27959228957932,3.34830545808608e-13
"dod.high1",-1.31954368585935,0.147468853540097,-8.9479483577904,3.62150392499812e-19
"1|2",-2.9597992466332,1.19178013604662,-2.48351114195565,0.0130094264552422
"2|3",-0.982122814019647,1.19015802231796,-0.825203708753615,0.409255948209376
"3|4",0.790862004054689,1.19140743229728,0.663804826640827,0.50681523609443
