"","Value","Std..Error","t.value","p.value"
"monit.un1",0.334660665937307,0.178371339413996,1.87620201225583,0.0606275458835451
"monit.non.un1",-0.135774506616441,0.184383399647205,-0.736370556548088,0.461505218046195
"trad.pko1",-0.464009314215036,0.200610633931028,-2.31298463657,0.0207234838463203
"multi.pko1",0.750163141550874,0.202498105273367,3.70454400320524,0.000211771345281154
"sanctions1",-0.587221411414436,0.173709227955915,-3.38048483851108,0.000723580670094345
"threat1",0.0358303951891995,0.149326114838594,0.239947280674438,0.810371126635998
"pos.inc1",-0.269552007956216,0.226128375043567,-1.19203088911015,0.233249133690796
"sc.mission.prior1",-0.389167309689483,0.17980048975633,-2.16443965317832,0.0304306233335909
"p5.vetoes.2yr1",0.813688221600016,0.334101471872138,2.43545237032484,0.0148731825393764
"p5.abstentions.past.2yr1",0.116324668406611,0.272014473139693,0.427641467249695,0.668912170754808
"p5.abstentions.change",-0.0589300805362259,0.238342654636139,-0.247249409159222,0.804715209037787
"prior.consent1",-0.0457475068162545,0.104693273362337,-0.436967011795736,0.662135272021017
"intensity.med1",-0.674571067204077,0.196570684826292,-3.43169719228577,0.000599816883182302
"intensity.high1",-0.330800611362934,0.200816851032264,-1.64727516472104,0.0995015002306403
"prox.war1",-0.0762555206694272,0.152827945023041,-0.498963201120911,0.617805308452792
"shock",-0.576106810648019,0.217452488532998,-2.6493456779208,0.00806477949543183
"factions",-0.0461694516658472,0.0121768466027564,-3.79157701267224,0.000149693713471556
"lootable1",-1.64082797874826,0.41818703457884,-3.92367013578207,8.72101260275722e-05
"dod.med1",-0.885498054486153,0.132369894873355,-6.68957284685731,2.23822947070509e-11
"dod.high1",-1.21658337415328,0.148203857486617,-8.20885093536206,2.23315264620989e-16
"1|2",-3.1676288099352,1.19209585394089,-2.65719304321334,0.00787943094333981
"2|3",-1.16248258431624,1.19024922239612,-0.976671576374589,0.328731771179066
"3|4",0.634633830255467,1.19113224669622,0.53279879880317,0.594172865439892
