"","OR","2.5 %","97.5 %"
"monit.un1",1.39746609690779,0.985170323806718,1.98230848495374
"monit.non.un1",0.873039474919733,0.608256063094494,1.25308726211532
"trad.pko1",0.628757698055419,0.424349049852071,0.931629852834042
"multi.pko1",2.11734541545227,1.42372140070659,3.14889669152391
"sanctions1",0.555869674040856,0.395468064579041,0.781330079957772
"threat1",1.03648003958148,0.773489323548539,1.38888907673904
"pos.inc1",0.763721558892082,0.490291346968158,1.189640859712
"sc.mission.prior1",0.677620887988923,0.476365532509459,0.963902794184167
"p5.vetoes.2yr1",2.25621407740377,1.17217543620692,4.34278163987758
"p5.abstentions.past.2yr1",1.12336053260736,0.659143573686193,1.9145129173643
"p5.abstentions.change",0.942772685013269,0.59092090701917,1.50412741375268
"prior.consent1",0.955283134222225,0.778067068648652,1.1728627303484
"intensity.med1",0.50937486133945,0.34651037106382,0.748787831567662
"intensity.high1",0.718348385267729,0.484617961413892,1.06480659757478
"prox.war1",0.926579416115561,0.686744619513999,1.25017275705289
"shock",0.562082405604463,0.367032141214452,0.86078736768043
"factions",0.954880142449967,0.932360597019342,0.977943608256489
"lootable1",0.193819497411335,0.0853957021706687,0.43990501420908
"dod.med1",0.412508670313634,0.318243558834551,0.534695513420863
"dod.high1",0.296240583067103,0.221560941326308,0.396091849631064
