"","OR","2.5 %","97.5 %"
"monitoring1",1.79335512709768,1.24219864892515,2.58905660110835
"trad.pko1",0.547080635834173,0.398440390055502,0.751171893148261
"multi.pko1",2.0649575489054,1.44007548401741,2.96099039675745
"sanctions1",0.624068941488991,0.478638563566208,0.813687139685137
"threat1",1.15311057753764,0.868893012950222,1.53029657761256
"pos.inc1",0.649382543534519,0.419435889687634,1.00539247645549
"sc.mission.prior1",0.608718373394953,0.434427092004726,0.85293496867034
"p5.vetoes.2yr1",2.42131815830958,1.28967034679864,4.54595365266245
"p5.abstentions.past.2yr1",1.17540453763957,0.716435968997531,1.92840098332424
"p5.abstentions.change",0.835120421898155,0.522691253694917,1.33429842979241
"prior.consent1",1.0169463447381,0.830783853998536,1.24482422605917
"intensity.med1",0.864199107236719,0.628838135604378,1.18765077157885
"intensity.high1",1.03572477717093,0.723920828640341,1.48182753086488
"prox.war1",0.986049975321785,0.763772519675972,1.27301588992045
"shock",0.580045072796324,0.38513355491964,0.87359899488762
"factions",0.961502129321368,0.947611512432173,0.975596362602968
"lootable1",0.724248917744608,0.543419637822716,0.965251268717233
"dod.med1",0.431759673552021,0.333752332528327,0.558547154692697
"dod.high1",0.252927687549676,0.186327501171428,0.343333188751186
"mil1",0.630119097811084,0.50126502251306,0.79209611601398
"hum1",0.399637691979651,0.305423712873872,0.522913834515451
"gov1",1.20900409178973,0.949377773074781,1.53963041417147
"ext1",0.958788323357233,0.684410337398349,1.34316359466547
"coop1",0.985386016521384,0.780818364108582,1.24354862307113
