"","OR","2.5 %","97.5 %"
"trad.pko1",1.05350732074449,0.754067596983464,1.47185435271603
"multi.pko1",1.57953287414717,1.13141067148175,2.20514457163829
"sanctions1",0.54502399044111,0.393541274006389,0.754815745581818
"threat1",0.761818385779453,0.574312796866446,1.01054208800187
"pos.inc1",0.832019790297515,0.537522820752273,1.2878651932915
"sc.mission.prior1",0.666319775996885,0.468399916571201,0.947869604961916
"p5.vetoes.2yr1",1.79383301033819,0.954885488437887,3.36986676197488
"p5.abstentions.past.2yr1",1.32127637559013,0.781406896598775,2.23413853690235
"p5.abstentions.change",0.78734281754114,0.489263929627524,1.26702312350219
"prior.consent1",0.990216970287385,0.806640487999569,1.21557207062194
"intensity.med1",0.543252471305742,0.371547312646733,0.794308658774768
"intensity.high1",0.460737803829946,0.313075919419016,0.67804424010628
"prox.war1",0.506843235013363,0.388059467585902,0.661986335436967
"shock",0.473712121151369,0.305894292416117,0.733597125834787
"lootable1",0.652590761564303,0.292441560357786,1.4562728415142
"dod.med1",0.408523901867789,0.316625549574621,0.527095108469603
"dod.high1",0.238781988200001,0.179170714914933,0.31822632351395
