"","Value","Std..Error","t.value","p.value"
"monit.un1",0.163014241021099,0.175444255860603,0.929151200884111,0.352810733098885
"monit.non.un1",0.345486275873724,0.185220165810161,1.86527354817199,0.0621430709152121
"trad.pko1",-0.151853095839063,0.196811439347047,-0.771566410686592,0.440371274809952
"multi.pko1",0.485820131224126,0.197537135509254,2.4593863324568,0.0139174761541308
"sanctions1",-0.688912208332862,0.171647579679696,-4.01352707459325,5.98181376925277e-05
"threat1",-0.243688800400593,0.149032090978575,-1.63514313461271,0.102019045603795
"pos.inc1",-0.190580005621148,0.223593198258146,-0.852351534419741,0.394019011122975
"sc.mission.prior1",-0.392397037260276,0.182109181952016,-2.15473504989809,0.0311825733671421
"p5.vetoes.2yr1",0.702921843168027,0.330682160832746,2.12567209975247,0.0335305716023411
"p5.abstentions.past.2yr1",0.277531337356141,0.273676907872322,1.0140838681414,0.31054273491006
"p5.abstentions.change",-0.285636415326441,0.245088976840107,-1.16543966607191,0.243841069009271
"prior.consent1",-0.0347614438468045,0.105175384308829,-0.330509311425321,0.741015158071675
"intensity.med1",-0.667282898397104,0.198100648524783,-3.36840340183755,0.000756048853909597
"intensity.high1",-0.760066561399065,0.204453291520593,-3.71755600384897,0.000201159402767084
"prox.war1",-0.496873751707828,0.15167868339552,-3.27583112263818,0.00105351536020896
"shock",-0.736039727633915,0.224888936419177,-3.2729032354975,0.00106448913413509
"factions",-0.031879416642635,0.0120736065050755,-2.64042203373396,0.00828028423823756
"lootable1",-0.532173202010962,0.41466581943335,-1.28337851125079,0.199359498612166
"dod.med1",-0.900332579643554,0.131039936220326,-6.87067321316278,6.38996223764685e-12
"dod.high1",-1.44181604553711,0.148551028647096,-9.70586376054216,2.84654934840993e-22
"1|2",-1.94603426561097,1.35568463119627,-1.43546236405569,0.15115538569744
"2|3",-0.251689882015194,1.35508676535405,-0.185737097025986,0.852650935257923
"3|4",1.22618139807172,1.35517170282206,0.904816264624085,0.365562733599655
